A000022,Ackerman,Gary
A000366,Adams,Sandy
A000055,Aderholt,Robert
A000358,Akin,W.
A000361,Alexander,Rodney
A000362,Altmire,Jason
A000367,Amash,Justin
A000369,Amodei,Mark
A000210,Andrews,Robert
A000365,Austria,Steve
B001234,Baca,Joe
B001256,Bachmann,Michele
B000013,Bachus,Spencer
B001230,Baldwin,Tammy
B001279,Barber,Ron
B001269,Barletta,Lou
B001252,Barrow,John
B000208,Bartlett,Roscoe
B000213,Barton,Joe
B000220,Bass,Charles
B001270,Bass,Karen
B000287,Becerra,Xavier
B001271,Benishek,Dan
B001272,Berg,Rick
B001231,Berkley,Shelley
B000410,Berman,Howard
B001232,Biggert,Judy
B000461,Bilbray,Brian
B001257,Bilirakis,Gus
B001250,Bishop,Rob
B000490,Bishop,Sanford
B001242,Bishop,Timothy
B001273,Black,Diane
B001243,Blackburn,Marsha
B000574,Blumenauer,Earl
B000589,Boehner,John
B001278,Bonamici,Suzanne
B001244,Bonner,Jo
B001245,Bordallo,Madeleine
B001254,Boren,Dan
B000652,Boswell,Leonard
B001255,Boustany,Charles
B000755,Brady,Kevin
B001227,Brady,Robert
B001259,Braley,Bruce
B001274,Brooks,Mo
B001262,Broun,Paul
B000911,Brown,Corrine
B001260,Buchanan,Vern
B001275,Bucshon,Larry
B001248,Burgess,Michael
B001149,Burton,Dan
B001251,Butterfield,George
C000059,Calvert,Ken
C000071,Camp,Dave
C001064,Campbell,John
C001082,Canseco,Francisco
C001046,Cantor,Eric
C001047,Capito,Shelley
C001036,Capps,Lois
C001037,Capuano,Michael
C001050,Cardoza,Dennis
C001060,Carnahan,Russ
C001083,Carney,John
C001051,Carter,John
C001075,Cassidy,Bill
C001066,Castor,Kathy
C000266,Chabot,Steve
C001076,Chaffetz,Jason
C001058,Chandler,Ben
C000380,Christensen,Donna
C001080,Chu,Judy
C001084,Cicilline,David
C001085,Clarke,Hansen
C001067,Clarke,Yvette
C001049,Clay,Wm.
C001061,Cleaver,Emanuel
C000537,Clyburn,James
C000556,Coble,Howard
C001077,Coffman,Mike
C001068,Cohen,Steve
C001053,Cole,Tom
C001062,Conaway,K.
C001078,Connolly,Gerald
C000714,Conyers,John
C000754,Cooper,Jim
C001059,Costa,Jim
C000794,Costello,Jerry
C001069,Courtney,Joe
C001086,Cravaack,Chip
C001087,Crawford,Eric
C001045,Crenshaw,Ander
C001081,Critz,Mark
C001038,Crowley,Joseph
C001063,Cuellar,Henry
C001048,Culberson,John
C000984,Cummings,Elijah
C001089,Curson,David
D000096,Davis,Danny
D000598,Davis,Susan
D000191,DeFazio,Peter
D000197,DeGette,Diana
D000216,DeLauro,Rosa
D000617,DelBene,Suzan
D000612,Denham,Jeff
D000604,Dent,Charles
D000616,DesJarlais,Scott
D000610,Deutch,Theodore
D000600,Diaz-Balart,Mario
D000327,Dicks,Norman
D000399,Doggett,Lloyd
D000613,Dold,Bob
D000607,Donnelly,Joe
D000482,Doyle,Michael
D000492,Dreier,David
D000614,Duffy,Sean
D000615,Duncan,Jeff
E000290,Edwards,Donna
E000288,Ellison,Keith
E000291,Ellmers,Renee
E000179,Engel,Eliot
E000215,Eshoo,Anna
F000010,Faleomavaega,Eni
F000460,Farenthold,Blake
F000030,Farr,Sam
F000043,Fattah,Chaka
F000116,Filner,Bob
F000458,Fincher,Stephen
F000451,Fitzpatrick,Michael
F000444,Flake,Jeff
F000459,Fleischmann,Charles
F000456,Fleming,John
F000461,Flores,Bill
F000445,Forbes,J.
F000449,Fortenberry,Jeff
F000450,Foxx,Virginia
F000339,Frank,Barney
F000448,Franks,Trent
F000372,Frelinghuysen,Rodney
F000455,Fudge,Marcia
G000021,Gallegly,Elton
G000559,Garamendi,John
G000562,Gardner,Cory
G000548,Garrett,Scott
G000549,Gerlach,Jim
G000563,Gibbs,Bob
G000564,Gibson,Christopher
G000550,Gingrey,Phil
G000552,Gohmert,Louie
G000544,Gonzalez,Charles
G000289,Goodlatte,Bob
G000565,Gosar,Paul
G000566,Gowdy,Trey
G000377,Granger,Kay
G000546,Graves,Sam
G000560,Graves,Tom
G000553,Green,Al
G000410,Green,Gene
G000567,Griffin,Tim
G000568,Griffith,H.
G000569,Grimm,Michael
G000570,Guinta,Frank
G000558,Guthrie,Brett
H001063,Hahn,Janice
H000067,Hall,Ralph
H001050,Hanabusa,Colleen
H001051,Hanna,Richard
H001045,Harper,Gregg
H001052,Harris,Andy
H001053,Hartzler,Vicky
H000324,Hastings,Alcee
H000329,Hastings,Doc
H001054,Hayworth,Nan
H001055,Heck,Joseph
H001046,Heinrich,Martin
H001036,Hensarling,Jeb
H000528,Herger,Walter
H001038,Higgins,Brian
H001047,Himes,James
H000627,Hinchey,Maurice
H001042,Hirono,Mazie
H001062,Hochul,Kathleen
H000712,Holden,Tim
H001032,Holt,Rush
H001034,Honda,Michael
H000874,Hoyer,Steny
H001057,Huelskamp,Tim
H001058,Huizenga,Bill
H001059,Hultgren,Randy
H001060,Hurt,Robert
I000057,Israel,Steve
I000056,Issa,Darrell
J000283,Jackson,Jesse
J000290,Jenkins,Lynn
J000292,Johnson,Bill
J000126,Johnson,Eddie
J000288,Johnson,Henry
J000174,Johnson,Sam
J000285,Johnson,Timothy
J000289,Jordan,Jim
K000009,Kaptur,Marcy
K000375,Keating,William
K000376,Kelly,Mike
K000172,Kildee,Dale
K000188,Kind,Ron
K000210,King,Peter
K000362,King,Steve
K000220,Kingston,Jack
K000378,Kinzinger,Adam
K000369,Kissell,Larry
K000363,Kline,John
K000336,Kucinich,Dennis
L000564,Lamborn,Doug
L000567,Lance,Leonard
L000574,Landry,Jeff
L000559,Langevin,James
L000575,Lankford,James
L000560,Larsen,Rick
L000557,Larson,John
L000111,Latham,Tom
L000553,LaTourette,Steven
L000566,Latta,Robert
L000551,Lee,Barbara
L000263,Levin,Sander
L000274,Lewis,Jerry
L000287,Lewis,John
L000563,Lipinski,Daniel
L000554,LoBiondo,Frank
L000565,Loebsack,David
L000397,Lofgren,Zoe
L000576,Long,Billy
L000480,Lowey,Nita
L000491,Lucas,Frank
L000569,Luetkemeyer,Blaine
L000571,Lummis,Cynthia
L000517,Lungren,Daniel
L000562,Lynch,Stephen
M000087,Maloney,Carolyn
M001138,Manzullo,Donald
M001158,Marchant,Kenny
M001179,Marino,Tom
M000133,Markey,Edward
M001184,Massie,Thomas
M001142,Matheson,Jim
M001163,Matsui,Doris
M000309,McCarthy,Carolyn
M001165,McCarthy,Kevin
M001157,McCaul,Michael
M001177,McClintock,Tom
M001143,McCollum,Betty
M000404,McDermott,Jim
M000312,McGovern,James
M001156,McHenry,Patrick
M000485,McIntyre,Mike
M000508,McKeon,Howard
M001180,McKinley,David
M001166,McNerney,Jerry
M001181,Meehan,Patrick
M001137,Meeks,Gregory
M000689,Mica,John
M001149,Michaud,Michael
M001154,Miller,R.
M001150,Miller,Candice
M001139,Miller,Gary
M001144,Miller,Jeff
M001160,Moore,Gwen
M000933,Moran,James
M001182,Mulvaney,Mick
M001169,Murphy,Christopher
M001151,Murphy,Tim
M001134,Myrick,Sue
N000002,Nadler,Jerrold
N000179,Napolitano,Grace
N000015,Neal,Richard
N000182,Neugebauer,Randy
N000184,Noem,Kristi
N000147,Norton,Eleanor
N000185,Nugent,Richard
N000181,Nunes,Devin
N000186,Nunnelee,Alan
O000168,Olson,Pete
O000085,Olver,John
O000169,Owens,William
P000601,Palazzo,Steven
P000034,Pallone,Frank
P000096,Pascrell,Bill
P000099,Pastor,Ed
P000583,Paul,Ronald
P000594,Paulsen,Erik
P000588,Pearce,Stevan
P000197,Pelosi,Nancy
P000587,Pence,Mike
P000593,Perlmutter,Ed
P000595,Peters,Gary
P000258,Peterson,Collin
P000265,Petri,Thomas
P000596,Pierluisi,Pedro
P000597,Pingree,Chellie
P000373,Pitts,Joseph
P000585,Platts,Todd
P000592,Poe,Ted
P000598,Polis,Jared
P000602,Pompeo,Mike
P000599,Posey,Bill
P000523,Price,David
P000591,Price,Tom
Q000024,Quayle,Ben
Q000023,Quigley,Mike
R000011,Rahall,Nick
R000053,Rangel,Charles
R000585,Reed,Tom
R000571,Rehberg,Dennis
R000578,Reichert,David
R000586,Renacci,James
R000170,Reyes,Silvestre
R000587,Ribble,Reid
R000581,Richardson,Laura
R000588,Richmond,Cedric
R000589,Rigell,Edward
R000590,Rivera,David
R000591,Roby,Martha
R000582,Roe,David
R000395,Rogers,Harold
R000575,Rogers,Mike
R000572,Rogers,Mike
R000409,Rohrabacher,Dana
R000592,Rokita,Todd
R000583,Rooney,Thomas
R000580,Roskam,Peter
R000435,Ros-Lehtinen,Ileana
R000593,Ross,Dennis
R000573,Ross,Mike
R000462,Rothman,Steven
R000486,Roybal-Allard,Lucille
R000487,Royce,Edward
R000594,Runyan,Jon
R000576,Ruppersberger,C.
R000515,Rush,Bobby
R000570,Ryan,Paul
R000577,Ryan,Tim
S001177,Sablan,Gregorio
S000030,Sanchez,Loretta
S001168,Sarbanes,John
S001176,Scalise,Steve
S001145,Schakowsky,Janice
S001150,Schiff,Adam
S001182,Schilling,Robert
S001164,Schmidt,Jean
S001179,Schock,Aaron
S001180,Schrader,Kurt
S001162,Schwartz,Allyson
S001183,Schweikert,David
S001189,Scott,Austin
S001157,Scott,David
S000185,Scott,Robert
S001184,Scott,Tim
S000244,Sensenbrenner,F.
S000250,Sessions,Pete
S001185,Sewell,Terri
S000344,Sherman,Brad
S000364,Shimkus,John
S001171,Shuler,Heath
S001154,Shuster,Bill
S001148,Simpson,Michael
S001165,Sires,Albio
S000480,Slaughter,Louise
S000510,Smith,Adam
S001172,Smith,Adrian
S000522,Smith,Christopher
S000583,Smith,Lamar
S001186,Southerland,Steve
S001175,Speier,Jackie
S000810,Stark,Fortney
S000822,Stearns,Clifford
S001187,Stivers,Steve
S001188,Stutzman,Marlin
S001155,Sullivan,John
S001174,Sutton,Betty
T000459,Terry,Lee
T000193,Thompson,Bennie
T000467,Thompson,Glenn
T000460,Thompson,Mike
T000238,Thornberry,Mac
T000462,Tiberi,Patrick
T000266,Tierney,John
T000470,Tipton,Scott
T000469,Tonko,Paul
T000326,Towns,Edolphus
T000465,Tsongas,Niki
T000463,Turner,Michael
T000471,Turner,Robert
U000031,Upton,Fred
V000108,Visclosky,Peter
W000798,Walberg,Tim
W000791,Walden,Greg
W000811,Walsh,Joe
W000799,Walz,Timothy
W000187,Waters,Maxine
W000207,Watt,Melvin
W000215,Waxman,Henry
W000806,Webster,Daniel
W000800,Welch,Peter
W000807,West,Allen
W000796,Westmoreland,Lynn
W000413,Whitfield,Ed
W000808,Wilson,Frederica
W000795,Wilson,Joe
W000804,Wittman,Robert
W000672,Wolf,Frank
W000809,Womack,Steve
W000810,Woodall,Rob
W000738,Woolsey,Lynn
Y000062,Yarmuth,John
Y000063,Yoder,Kevin
Y000033,Young,Don
Y000064,Young,Todd
S000320,Shelby,Richard
S001141,Sessions,Jefferson
M001153,Murkowski,Lisa
B001265,Begich,Mark
M000303,McCain,John
K000352,Kyl,Jon
P000590,Pryor,Mark
B001236,Boozman,John
F000062,Feinstein,Dianne
B000711,Boxer,Barbara
U000038,Udall,Mark
B001267,Bennet,Michael
L000304,Lieberman,Joseph
B001277,Blumenthal,Richard
C000174,Carper,Thomas
C001088,Coons,Chris
N000032,Nelson,Bill
R000595,Rubio,Marco
C000286,Chambliss,Saxby
I000055,Isakson,John
A000069,Akaka,Daniel
S001194,Schatz,Brian
C000880,Crapo,Michael
R000584,Risch,James
D000563,Durbin,Richard
K000360,Kirk,Mark
L000504,Lugar,Richard
C000542,Coats,Daniel
G000386,Grassley,Charles
H000206,Harkin,Thomas
R000307,Roberts,Pat
M000934,Moran,Jerry
M000355,McConnell,Mitch
P000603,Paul,Rand
L000550,Landrieu,Mary
V000127,Vitter,David
S000663,Snowe,Olympia
C001035,Collins,Susan
M000702,Mikulski,Barbara
C000141,Cardin,Benjamin
K000148,Kerry,John
B001268,Brown,Scott
L000261,Levin,Carl
S000770,Stabenow,Debbie
K000367,Klobuchar,Amy
F000457,Franken,Alan
C000567,Cochran,Thad
W000437,Wicker,Roger
M001170,McCaskill,Claire
B000575,Blunt,Roy
B000243,Baucus,Max
T000464,Tester,Jon
N000180,Nelson,Ben
J000291,Johanns,Mike
R000146,Reid,Harry
H001041,Heller,Dean
S001181,Shaheen,Jeanne
A000368,Ayotte,Kelly
L000123,Lautenberg,Frank
B000468,Bingaman,Jeff
U000039,Udall,Tom
S000148,Schumer,Charles
G000555,Gillibrand,Kirsten
B001135,Burr,Richard
H001049,Hagan,Kay
C000705,Conrad,Kent
H001061,Hoeven,John
B000944,Brown,Sherrod
P000449,Portman,Robert
I000024,Inhofe,James
C000560,Coburn,Thomas
W000779,Wyden,Ron
M001176,Merkley,Jeff
C001070,Casey,Robert
T000461,Toomey,Patrick
R000122,Reed,John
W000802,Whitehouse,Sheldon
G000359,Graham,Lindsey
D000595,DeMint,Jim
J000177,Johnson,Tim
T000250,Thune,John
A000360,Alexander,Lamar
C001071,Corker,Bob
H001016,Hutchison,Kay
C001056,Cornyn,John
H000338,Hatch,Orrin
L000577,Lee,Mike
L000174,Leahy,Patrick
S000033,Sanders,Bernard
W000803,Webb,Jim
W000805,Warner,Mark
M001111,Murray,Patty
C000127,Cantwell,Maria
R000361,Rockefeller,John
M001183,Manchin,Joe
K000305,Kohl,Herbert
J000293,Johnson,Ron
E000285,Enzi,Michael
B001261,Barrasso,John
B001228,Bono Mack,Mary
B001276,Buerkle,Ann Marie
C001072,Carson,Andre
D000355,Dingell,John
D000533,Duncan,John
E000172,Emerson,Jo Ann
G000551,Grijalva,Raul
G000535,Gutierrez,Luis
H001056,Herrera Beutler,Jaime
H000636,Hinojosa,Ruben
H001048,Hunter,Duncan
J000032,Jackson Lee,Sheila
J000255,Walter,Jones
L000573,Labrador,Raul
L000570,Lujan,Ben
M001155,Mack,Connie
M001159,McMorris Rodgers,Cathy
M000725,Miller,George
P000604,Payne,Donald
S001156,Sanchez,Linda
S000248,Serrano,Jose
V000128,Van Hollen,Chris
V000081,Velazquez,Nydia
W000797,Wasserman Schultz,Debbie
Y000031,Young,C.
M000639,Menendez,Robert
