Adams,Alma,NC,12
Aderholt,Robert,AL,4
Amash,Justin,MI,3
Amodei,Mark,NV,2
Bachmann,Michele,MN,6
Bachus,Spencer,AL,6
Barber,Ron,AZ,2
Barletta,Lou,PA,11
Barr,Andy,KY,6
Barrow,John,GA,12
Barton,Joe,TX,6
Bass,Karen,CA,37
Beatty,Joyce,OH,3
Becerra,Xavier,CA,34
Benishek,Dan,MI,1
Bentivolio,Kerry,MI,11
Bera,Ami,CA,7
Bilirakis,Gus,FL,12
Bishop,Rob,UT,1
Bishop,Sanford,GA,2
Bishop,Timothy,NY,1
Black,Diane,TN,6
Blackburn,Marsha,TN,7
Blumenauer,Earl,OR,3
Boehner,John,OH,8
Bonamici,Suzanne,OR,1
Bordallo,Madeleine,GU,
Boustany,Charles,LA,3
Brady,Kevin,TX,8
Brady,Robert,PA,1
Braley,Bruce,IA,1
Brat,Dave,VA,7
Bridenstine,Jim,OK,1
Brooks,Mo,AL,5
Brooks,Susan,IN,5
Broun,Paul,GA,10
Brown,Corrine,FL,5
Brownley,Julia,CA,26
Buchanan,Vern,FL,16
Bucshon,Larry,IN,8
Burgess,Michael,TX,26
Bustos,Cheri,IL,17
Butterfield,G.,NC,1
Byrne,Bradley,AL,1
Calvert,Ken,CA,42
Camp,Dave,MI,4
Campbell,John,CA,45
Capito,Shelley,WV,2
Capps,Lois,CA,24
Capuano,Michael,MA,7
Cárdenas,Tony,CA,29
Carney,John,DE,0
Carson,André,IN,7
Carter,John,TX,31
Cartwright,Matt,PA,17
Cassidy,Bill,LA,6
Castor,Kathy,FL,14
Castro,Joaquin,TX,20
Chabot,Steve,OH,1
Chaffetz,Jason,UT,3
Christensen,Donna,VI,
Chu,Judy,CA,27
Cicilline,David,RI,1
Clark,Katherine,MA,5
Clarke,Yvette,NY,9
Clawson,Curt,FL,19
Clay,Wm.,MO,1
Cleaver,Emanuel,MO,5
Clyburn,James,SC,6
Coble,Howard,NC,6
Coffman,Mike,CO,6
Cohen,Steve,TN,9
Cole,Tom,OK,4
Collins,Chris,NY,27
Collins,Doug,GA,9
Conaway,K.,TX,11
Connolly,Gerald,VA,11
Conyers,John,MI,13
Cook,Paul,CA,8
Cooper,Jim,TN,5
Costa,Jim,CA,16
Cotton,Tom,AR,4
Courtney,Joe,CT,2
Cramer,Kevin,ND,0
Crawford,Eric,AR,1
Crenshaw,Ander,FL,4
Crowley,Joseph,NY,14
Cuellar,Henry,TX,28
Culberson,John,TX,7
Cummings,Elijah,MD,7
Daines,Steve,MT,0
Davis,Danny,IL,7
Davis,Rodney,IL,13
Davis,Susan,CA,53
DeFazio,Peter,OR,4
DeGette,Diana,CO,1
Delaney,John,MD,6
DeLauro,Rosa,CT,3
DelBene,Suzan,WA,1
Denham,Jeff,CA,10
Dent,Charles,PA,15
DeSantis,Ron,FL,6
DesJarlais,Scott,TN,4
Deutch,Theodore,FL,21
Diaz-Balart,Mario,FL,25
Dingell,John,MI,12
Doggett,Lloyd,TX,35
Doyle,Michael,PA,14
Duckworth,Tammy,IL,8
Duffy,Sean,WI,7
Duncan,Jeff,SC,3
Duncan,John,TN,2
Edwards,Donna,MD,4
Ellison,Keith,MN,5
Ellmers,Renee,NC,2
Engel,Eliot,NY,16
Enyart,William,IL,12
Eshoo,Anna,CA,18
Esty,Elizabeth,CT,5
Faleomavaega,Eni,AS,
Farenthold,Blake,TX,27
Farr,Sam,CA,20
Fattah,Chaka,PA,2
Fincher,Stephen,TN,8
Fitzpatrick,Michael,PA,8
Fleischmann,Charles,TN,3
Fleming,John,LA,4
Flores,Bill,TX,17
Forbes,J.,VA,4
Fortenberry,Jeff,NE,1
Foster,Bill,IL,11
Foxx,Virginia,NC,5
Frankel,Lois,FL,22
Franks,Trent,AZ,8
Frelinghuysen,Rodney,NJ,11
Fudge,Marcia,OH,11
Gabbard,Tulsi,HI,2
Gallego,Pete,TX,23
Garamendi,John,CA,3
Garcia,Joe,FL,26
Gardner,Cory,CO,4
Garrett,Scott,NJ,5
Gerlach,Jim,PA,6
Gibbs,Bob,OH,7
Gibson,Christopher,NY,19
Gingrey,Phil,GA,11
Gohmert,Louie,TX,1
Goodlatte,Bob,VA,6
Gosar,Paul,AZ,4
Gowdy,Trey,SC,4
Granger,Kay,TX,12
Graves,Sam,MO,6
Graves,Tom,GA,14
Grayson,Alan,FL,9
Green,Al,TX,9
Green,Gene,TX,29
Griffin,Tim,AR,2
Griffith,H.,VA,9
Grijalva,Raúl,AZ,3
Grimm,Michael,NY,11
Guthrie,Brett,KY,2
Gutiérrez,Luis,IL,4
Hahn,Janice,CA,44
Hall,Ralph,TX,4
Hanabusa,Colleen,HI,1
Hanna,Richard,NY,22
Harper,Gregg,MS,3
Harris,Andy,MD,1
Hartzler,Vicky,MO,4
Hastings,Alcee,FL,20
Hastings,Doc,WA,4
Heck,Denny,WA,10
Heck,Joseph,NV,3
Hensarling,Jeb,TX,5
Herrera,Beutler,WA,3
Higgins,Brian,NY,26
Himes,James,CT,4
Hinojosa,Rubén,TX,15
Holding,George,NC,13
Holt,Rush,NJ,12
Honda,Michael,CA,17
Horsford,Steven,NV,4
Hoyer,Steny,MD,5
Hudson,Richard,NC,8
Huelskamp,Tim,KS,1
Huffman,Jared,CA,2
Huizenga,Bill,MI,2
Hultgren,Randy,IL,14
Hunter,Duncan,CA,50
Hurt,Robert,VA,5
Israel,Steve,NY,3
Issa,Darrell,CA,49
Jackson,Lee,TX,18
Jeffries,Hakeem,NY,8
Jenkins,Lynn,KS,2
Johnson,Bill,OH,6
Johnson,Eddie,TX,30
Johnson,Henry,GA,4
Johnson,Sam,TX,3
Jolly,David,FL,13
Jones,Walter,NC,3
Jordan,Jim,OH,4
Joyce,David,OH,14
Kaptur,Marcy,OH,9
Keating,William,MA,9
Kelly,Mike,PA,3
Kelly,Robin,IL,2
Kennedy,Joseph,MA,4
Kildee,Daniel,MI,5
Kilmer,Derek,WA,6
Kind,Ron,WI,3
King,Peter,NY,2
King,Steve,IA,4
Kingston,Jack,GA,1
Kinzinger,Adam,IL,16
Kirkpatrick,Ann,AZ,1
Kline,John,MN,2
Kuster,Ann,NH,2
Labrador,Raúl,ID,1
LaMalfa,Doug,CA,1
Lamborn,Doug,CO,5
Lance,Leonard,NJ,7
Langevin,James,RI,2
Lankford,James,OK,5
Larsen,Rick,WA,2
Larson,John,CT,1
Latham,Tom,IA,3
Latta,Robert,OH,5
Lee,Barbara,CA,13
Levin,Sander,MI,9
Lewis,John,GA,5
Lipinski,Daniel,IL,3
LoBiondo,Frank,NJ,2
Loebsack,David,IA,2
Lofgren,Zoe,CA,19
Long,Billy,MO,7
Lowenthal,Alan,CA,47
Lowey,Nita,NY,17
Lucas,Frank,OK,3
Luetkemeyer,Blaine,MO,3
Luján,Ben,NM,3
Lujan,Grisham,NM,1
Lummis,Cynthia,WY,0
Lynch,Stephen,MA,8
Maffei,Daniel,NY,24
Maloney,Carolyn,NY,12
Maloney,Sean,NY,18
Marchant,Kenny,TX,24
Marino,Tom,PA,10
Massie,Thomas,KY,4
Matheson,Jim,UT,4
Matsui,Doris,CA,6
McAllister,Vance,LA,5
McCarthy,Carolyn,NY,4
McCarthy,Kevin,CA,23
McCaul,Michael,TX,10
McClintock,Tom,CA,4
McCollum,Betty,MN,4
McDermott,Jim,WA,7
McGovern,James,MA,2
McHenry,Patrick,NC,10
McIntyre,Mike,NC,7
McKeon,Howard,CA,25
McKinley,David,WV,1
McMorris,Rodgers,WA,5
McNerney,Jerry,CA,9
Meadows,Mark,NC,11
Meehan,Patrick,PA,7
Meeks,Gregory,NY,5
Meng,Grace,NY,6
Messer,Luke,IN,6
Mica,John,FL,7
Michaud,Michael,ME,2
Miller,Candice,MI,10
Miller,Gary,CA,31
Miller,George,CA,11
Miller,Jeff,FL,1
Moore,Gwen,WI,4
Moran,James,VA,8
Mullin,Markwayne,OK,2
Mulvaney,Mick,SC,5
Murphy,Patrick,FL,18
Murphy,Tim,PA,18
Nadler,Jerrold,NY,10
Napolitano,Grace,CA,32
Neal,Richard,MA,1
Negrete,McLeod,CA,35
Neugebauer,Randy,TX,19
Noem,Kristi,SD,0
Nolan,Richard,MN,8
Norcross,Donald,NJ,1
Norton,Eleanor,DC,
Nugent,Richard,FL,11
Nunes,Devin,CA,22
Nunnelee,Alan,MS,1
Olson,Pete,TX,22
O'Rourke,Beto,TX,16
Owens,William,NY,21
Palazzo,Steven,MS,4
Pallone,Frank,NJ,6
Pascrell,Bill,NJ,9
Pastor,Ed,AZ,7
Paulsen,Erik,MN,3
Payne,Donald,NJ,10
Pearce,Stevan,NM,2
Pelosi,Nancy,CA,12
Perlmutter,Ed,CO,7
Perry,Scott,PA,4
Peters,Gary,MI,14
Peters,Scott,CA,52
Peterson,Collin,MN,7
Petri,Thomas,WI,6
Pierluisi,Pedro,Resident,
Pingree,Chellie,ME,1
Pittenger,Robert,NC,9
Pitts,Joseph,PA,16
Pocan,Mark,WI,2
Poe,Ted,TX,2
Polis,Jared,CO,2
Pompeo,Mike,KS,4
Posey,Bill,FL,8
Price,David,NC,4
Price,Tom,GA,6
Quigley,Mike,IL,5
Rahall,Nick,WV,3
Rangel,Charles,NY,13
Reed,Tom,NY,23
Reichert,David,WA,8
Renacci,James,OH,16
Ribble,Reid,WI,8
Rice,Tom,SC,7
Richmond,Cedric,LA,2
Rigell,E.,VA,2
Roby,Martha,AL,2
Roe,David,TN,1
Rogers,Harold,KY,5
Rogers,Mike,AL,3
Rogers,Mike,MI,8
Rohrabacher,Dana,CA,48
Rokita,Todd,IN,4
Rooney,Thomas,FL,17
Roskam,Peter,IL,6
Ros-Lehtinen,Ileana,FL,27
Ross,Dennis,FL,15
Rothfus,Keith,PA,12
Roybal-Allard,Lucille,CA,40
Royce,Edward,CA,39
Ruiz,Raul,CA,36
Runyan,Jon,NJ,3
Ruppersberger,C.,MD,2
Rush,Bobby,IL,1
Ryan,Paul,WI,1
Ryan,Tim,OH,13
Sablan,Gregorio,MP,
Salmon,Matt,AZ,5
Sánchez,Linda,CA,38
Sanchez,Loretta,CA,46
Sanford,Mark,SC,1
Sarbanes,John,MD,3
Scalise,Steve,LA,1
Schakowsky,Janice,IL,9
Schiff,Adam,CA,28
Schneider,Bradley,IL,10
Schock,Aaron,IL,18
Schrader,Kurt,OR,5
Schwartz,Allyson,PA,13
Schweikert,David,AZ,6
Scott,Austin,GA,8
Scott,David,GA,13
Scott,Robert,VA,3
Sensenbrenner,F.,WI,5
Serrano,José,NY,15
Sessions,Pete,TX,32
Sewell,Terri,AL,7
Shea-Porter,Carol,NH,1
Sherman,Brad,CA,30
Shimkus,John,IL,15
Shuster,Bill,PA,9
Simpson,Michael,ID,2
Sinema,Kyrsten,AZ,9
Sires,Albio,NJ,8
Slaughter,Louise,NY,25
Smith,Adam,WA,9
Smith,Adrian,NE,3
Smith,Christopher,NJ,4
Smith,Jason,MO,8
Smith,Lamar,TX,21
Southerland,Steve,FL,2
Speier,Jackie,CA,14
Stewart,Chris,UT,2
Stivers,Steve,OH,15
Stockman,Steve,TX,36
Stutzman,Marlin,IN,3
Swalwell,Eric,CA,15
Takano,Mark,CA,41
Terry,Lee,NE,2
Thompson,Bennie,MS,2
Thompson,Glenn,PA,5
Thompson,Mike,CA,5
Thornberry,Mac,TX,13
Tiberi,Patrick,OH,12
Tierney,John,MA,6
Tipton,Scott,CO,3
Titus,Dina,NV,1
Tonko,Paul,NY,20
Tsongas,Niki,MA,3
Turner,Michael,OH,10
Upton,Fred,MI,6
Valadao,David,CA,21
Van,Hollen,MD,8
Vargas,Juan,CA,51
Veasey,Marc,TX,33
Vela,Filemon,TX,34
Velázquez,Nydia,NY,7
Visclosky,Peter,IN,1
Wagner,Ann,MO,2
Walberg,Tim,MI,7
Walden,Greg,OR,2
Walorski,Jackie,IN,2
Walz,Timothy,MN,1
Wasserman,Schultz,FL,23
Waters,Maxine,CA,43
Waxman,Henry,CA,33
Weber,Randy,TX,14
Webster,Daniel,FL,10
Welch,Peter,VT,0
Wenstrup,Brad,OH,2
Westmoreland,Lynn,GA,3
Whitfield,Ed,KY,1
Williams,Roger,TX,25
Wilson,Frederica,FL,24
Wilson,Joe,SC,2
Wittman,Robert,VA,1
Wolf,Frank,VA,10
Womack,Steve,AR,3
Woodall,Rob,GA,7
Yarmuth,John,KY,3
Yoder,Kevin,KS,3
Yoho,Ted,FL,3
Young,Don,AK,0
Young,Todd,IN,9
SENATORS
AL,Richard,Shelby,and,Jeff,Sessions
AK,Lisa,Murkowski,and,Mark,Begich
AZ,John,McCain,and,Jeff,Flake
AR,Mark,Pryor,and,John,Boozman
CA,Dianne,Feinstein,and,Barbara,Boxer
CO,Mark,Udall,and,Michael,Bennet
CT,Richard,Blumenthal,and,Christopher,Murphy
DE,Thomas,Carper,and,Christopher,Coons
FL,Bill,Nelson,and,Marco,Rubio
GA,Saxby,Chambliss,and,Johnny,Isakson
HI,Brian,Schatz,and,Mazie,Hirono
ID,Mike,Crapo,and,James,Risch
IL,Richard,Durbin,and,Mark,Kirk
IN,Daniel,Coats,and,Joe,Donnelly
IA,Chuck,Grassley,and,Tom,Harkin
KS,Pat,Roberts,and,Jerry,Moran
KY,Mitch,McConnell,and,Rand,Paul
LA,Mary,Landrieu,and,David,Vitter
ME,Susan,Collins,and,Angus,King
MD,Barbara,Mikulski,and,Benjamin,Cardin
MA,Elizabeth,Warren,and,Edward,Markey1
MI,Carl,Levin,and,Debbie,Stabenow
MN,Amy,Klobuchar,and,Al,Franken
MS,Thad,Cochran,and,Roger,Wicker
MO,Claire,McCaskill,and,Roy,Blunt
MT,Jon,Tester,and,John,Walsh2
NE,Mike,Johanns,and,Deb,Fischer
NV,Harry,Reid,and,Dean,Heller
NH,Jeanne,Shaheen,and,Kelly,Ayotte
NJ,Robert,Menendez,and,Cory,A.,Booker3
NM,Tom,Udall,and,Martin,Heinrich
NY,Charles,Schumer,and,Kirsten,Gillibrand
NC,Richard,Burr,and,Kay,Hagan
ND,John,Hoeven,and,Heidi,Heitkamp
OH,Sherrod,Brown,and,Rob,Portman
OK,James,Inhofe,and,Tom,Coburn
OR,Ron,Wyden,and,Jeff,Merkley
PA,Robert,Casey,and,Patrick,Toomey
RI,Jack,Reed,and,Sheldon,Whitehouse
SC,Lindsey,Graham,and,Tim,Scott
SD,Tim,Johnson,and,John,Thune
TN,Lamar,Alexander,and,Bob,Corker
TX,John,Cornyn,and,Ted,Cruz
UT,Orrin,Hatch,and,Mike,Lee
VT,Patrick,Leahy,and,BERNARD,SANDERS
VA,Mark,Warner,and,Tim,Kaine
WA,Patty,Murray,and,Maria,Cantwell
WV,John,Rockefeller,and,Joe,Manchin
WI,Ron,Johnson,and,Tammy,Baldwin
WY,Michael,Enzi,and,John,Barrasso